Period,AgentId,Budget,SelectedDeliveryPlan,UtilityIfGreen,UtilityIfNormal,UtilityDisparity,Emissions,EcoCon
0,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
1,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
2,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
3,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
4,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
5,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
6,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
7,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
8,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
9,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
10,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
11,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
12,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
13,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
14,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
15,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
16,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
17,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
18,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
19,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
20,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
21,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
22,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
23,0,1687.6281129340498,Normal,6.4406359005300375,6.452114525855117,-0.01147862532507915,3.1374761136266276,0.04023767632707884
0,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
1,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
2,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
3,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
4,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
5,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
6,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
7,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
8,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
9,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
10,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
11,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
12,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
13,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
14,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
15,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
16,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
17,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
18,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
19,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
20,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
21,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
22,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
23,1,4014.8775042655707,Normal,7.259214033713451,7.261127355804861,-0.0019133220914104854,6.818276026130642,0.04604074054888164
0,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
1,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
2,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
3,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
4,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
5,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
6,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
7,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
8,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
9,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
10,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
11,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
12,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
13,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
14,2,1711.9439476653622,Normal,6.577910002201403,6.589661861155841,-0.011751858954438532,2.7644878178902736,0.0382758388624339
