Period,AgentId,Budget,SelectedDeliveryPlan,UtilityIfGreen,UtilityIfNormal,UtilityDisparity,Emissions
0,0,1846.9486383796038,Green,6.306176721638845,6.304834942060124,0.0013417795787216136,19.000967229534957
1,0,1846.9486383796038,Green,6.3061696179233095,6.304834942060124,0.001334675863185808,19.000967229534957
2,0,2003.808879244851,Green,6.3811525288103494,6.3787898713305005,0.002362657479848984,20.185138689827898
3,0,2160.669120110098,Green,6.450177469455005,6.446916591457772,0.003260877997232292,21.3327055564674
4,0,2331.636489781479,Green,6.5196306547375045,6.5155096858948465,0.0041209688426580016,22.545527276527668
0,1,1120.0473708947152,Normal,5.930389807149278,5.938359205940775,-0.007969398791496829,13.254447281143888
1,1,1120.0473708947152,Normal,5.930389807149278,5.93835371684405,-0.00796390969477212,13.254447281143888
2,1,1215.3467712468141,Normal,6.008751024215644,6.015232140971453,-0.006481116755809424,14.132114804780484
3,1,1310.646171598913,Normal,6.0808664103750365,6.086061462497391,-0.005195052122354937,14.985999736302594
4,1,1414.422310957858,Normal,6.153348770266753,6.1573218844907185,-0.003973114223965624,15.890929068306354
0,2,1928.9141354215305,Green,6.544221814217853,6.544004790547158,0.00021702367069575956,14.31632870400936
1,2,1928.9141354215305,Green,6.544221814217853,6.543999999145637,0.00022181507221663566,14.31632870400936
2,2,2100.217110691671,Green,6.623544887695805,6.622360886859058,0.0011840008367469679,15.212381044529298
3,2,2271.5200859618117,Green,6.6963773021228485,6.69436128663303,0.0020160154898185567,16.07792716637226
4,2,2458.7586223049398,Green,6.769698638480494,6.766891499829466,0.002807138651028218,16.992525781646652
